Fold1 eğitimine 50 epoch ile başlanıyor
Epoch [22/50], Train Loss: 0.0036, Train Acc: 0.9987, Test Loss: 0.3243, Test Acc: 0.9547
Epoch [23/50], Train Loss: 0.0065, Train Acc: 0.9976, Test Loss: 0.3288, Test Acc: 0.9540
Epoch [24/50], Train Loss: 0.0030, Train Acc: 0.9991, Test Loss: 0.3800, Test Acc: 0.9527
Epoch [25/50], Train Loss: 0.0074, Train Acc: 0.9980, Test Loss: 0.1748, Test Acc: 0.9693
Epoch [26/50], Train Loss: 0.0035, Train Acc: 0.9991, Test Loss: 0.1348, Test Acc: 0.9713
Epoch [27/50], Train Loss: 0.0040, Train Acc: 0.9987, Test Loss: 0.1486, Test Acc: 0.9727
Epoch [28/50], Train Loss: 0.0022, Train Acc: 0.9994, Test Loss: 0.2353, Test Acc: 0.9613
Epoch [29/50], Train Loss: 0.0045, Train Acc: 0.9983, Test Loss: 0.1754, Test Acc: 0.9660
Epoch [30/50], Train Loss: 0.0063, Train Acc: 0.9983, Test Loss: 0.1858, Test Acc: 0.9707
Epoch [31/50], Train Loss: 0.0037, Train Acc: 0.9987, Test Loss: 0.3465, Test Acc: 0.9513
Epoch [32/50], Train Loss: 0.0036, Train Acc: 0.9988, Test Loss: 0.2046, Test Acc: 0.9720
Epoch [33/50], Train Loss: 0.0029, Train Acc: 0.9991, Test Loss: 0.2388, Test Acc: 0.9680
Epoch [34/50], Train Loss: 0.0016, Train Acc: 0.9994, Test Loss: 0.2429, Test Acc: 0.9660
Epoch [35/50], Train Loss: 0.0039, Train Acc: 0.9986, Test Loss: 0.1761, Test Acc: 0.9680
Epoch [36/50], Train Loss: 0.0030, Train Acc: 0.9992, Test Loss: 0.1685, Test Acc: 0.9693
Epoch [37/50], Train Loss: 0.0027, Train Acc: 0.9992, Test Loss: 0.2248, Test Acc: 0.9740
Epoch [38/50], Train Loss: 0.0045, Train Acc: 0.9984, Test Loss: 0.2562, Test Acc: 0.9653
Epoch [39/50], Train Loss: 0.0021, Train Acc: 0.9992, Test Loss: 0.2325, Test Acc: 0.9673
Epoch [40/50], Train Loss: 0.0049, Train Acc: 0.9989, Test Loss: 0.2452, Test Acc: 0.9667
Epoch [41/50], Train Loss: 0.0022, Train Acc: 0.9993, Test Loss: 0.2191, Test Acc: 0.9727
Epoch [42/50], Train Loss: 0.0032, Train Acc: 0.9991, Test Loss: 0.1930, Test Acc: 0.9740
Epoch [43/50], Train Loss: 0.0029, Train Acc: 0.9987, Test Loss: 0.2368, Test Acc: 0.9740
Epoch [44/50], Train Loss: 0.0030, Train Acc: 0.9994, Test Loss: 0.2506, Test Acc: 0.9640
Epoch [45/50], Train Loss: 0.0013, Train Acc: 0.9997, Test Loss: 0.3318, Test Acc: 0.9647
Epoch [46/50], Train Loss: 0.0021, Train Acc: 0.9996, Test Loss: 0.2554, Test Acc: 0.9587
Epoch [47/50], Train Loss: 0.0027, Train Acc: 0.9991, Test Loss: 0.2790, Test Acc: 0.9620
Epoch [48/50], Train Loss: 0.0029, Train Acc: 0.9992, Test Loss: 0.2731, Test Acc: 0.9687
Epoch [49/50], Train Loss: 0.0030, Train Acc: 0.9989, Test Loss: 0.3093, Test Acc: 0.9607
Epoch [50/50], Train Loss: 0.0003, Train Acc: 1.0000, Test Loss: 0.3796, Test Acc: 0.9607
Fold3 değerlendirmesi yapılıyor
Accuracy: 0.9740
Precision: 0.9986
Recall: 0.9493
F1 Score: 0.9733
